Robot Structural Analysis - Active Standard Sections (Filtered for France)
=====================================================================

### DATABASE: RCAT ###
Total sections: 2145

CAIP 150x90x11       | Weight:  19.90 kg/m
CAIP 150x90x12       | Weight:  21.60 kg/m
CAIP 30x20x3         | Weight:   1.12 kg/m
CAIP 35x20x3.5       | Weight:   1.43 kg/m
CAIP 40x25x4         | Weight:   1.93 kg/m
CAIP 45x30x4         | Weight:   2.24 kg/m
CAIP 45x30x5         | Weight:   2.76 kg/m
CAIP 50x30x5         | Weight:   2.96 kg/m
CAIP 60x40x5         | Weight:   3.76 kg/m
CAIP 60x40x6         | Weight:   4.46 kg/m
CAIP 70x50x6         | Weight:   5.40 kg/m
CAIP 70x50x7         | Weight:   6.24 kg/m
CAIP 80x50x7         | Weight:   6.79 kg/m
CAIP 80x60x7         | Weight:   7.36 kg/m
CAIP 80x60x8         | Weight:   8.34 kg/m
CAIP 90x70x8         | Weight:   9.60 kg/m
CARR 10              | Weight:   0.79 kg/m
CARR 100             | Weight:  78.50 kg/m
CARR 110             | Weight:  94.98 kg/m
CARR 12              | Weight:   1.13 kg/m
CARR 120             | Weight: 113.04 kg/m
CARR 13              | Weight:   1.33 kg/m
CARR 14              | Weight:   1.54 kg/m
CARR 15              | Weight:   1.77 kg/m
CARR 16              | Weight:   2.01 kg/m
CARR 18              | Weight:   2.54 kg/m
CARR 19              | Weight:   2.83 kg/m
CARR 20              | Weight:   3.14 kg/m
CARR 22              | Weight:   3.80 kg/m
CARR 24              | Weight:   4.52 kg/m
CARR 25              | Weight:   4.91 kg/m
CARR 28              | Weight:   6.15 kg/m
CARR 30              | Weight:   7.06 kg/m
CARR 32              | Weight:   8.04 kg/m
CARR 35              | Weight:   9.62 kg/m
CARR 40              | Weight:  12.56 kg/m
CARR 45              | Weight:  15.90 kg/m
CARR 50              | Weight:  19.62 kg/m
CARR 55              | Weight:  23.75 kg/m
CARR 60              | Weight:  28.26 kg/m
CARR 65              | Weight:  33.17 kg/m
CARR 70              | Weight:  38.46 kg/m
CARR 8               | Weight:   0.50 kg/m
CARR 80              | Weight:  50.24 kg/m
CARR 90              | Weight:  63.58 kg/m
DCEC 100             | Weight:  30.07 kg/m
DCEC 100x10          | Weight:  30.07 kg/m
DCEC 100x12          | Weight:  30.07 kg/m
DCEC 100x14          | Weight:  30.07 kg/m
DCEC 100x16          | Weight:  30.07 kg/m
DCEC 100x18          | Weight:  30.07 kg/m
DCEC 100x20          | Weight:  30.07 kg/m
DCEC 100x8           | Weight:  30.07 kg/m
DCEC 120             | Weight:  43.24 kg/m
DCEC 120x10          | Weight:  43.24 kg/m
DCEC 120x12          | Weight:  43.24 kg/m
DCEC 120x14          | Weight:  43.24 kg/m
DCEC 120x16          | Weight:  43.24 kg/m
DCEC 120x18          | Weight:  43.24 kg/m
DCEC 120x20          | Weight:  43.24 kg/m
DCEC 120x8           | Weight:  43.24 kg/m
DCEC 150             | Weight:  67.55 kg/m
DCEC 150x10          | Weight:  67.55 kg/m
DCEC 150x12          | Weight:  67.55 kg/m
DCEC 150x14          | Weight:  67.55 kg/m
DCEC 150x16          | Weight:  67.55 kg/m
DCEC 150x18          | Weight:  67.55 kg/m
DCEC 150x20          | Weight:  67.55 kg/m
DCEC 180             | Weight:  97.19 kg/m
DCEC 180x14          | Weight:  97.19 kg/m
DCEC 180x16          | Weight:  97.19 kg/m
DCEC 180x18          | Weight:  97.19 kg/m
DCEC 180x20          | Weight:  97.19 kg/m
DCEC 200             | Weight: 119.87 kg/m
DCEC 200x14          | Weight: 119.87 kg/m
DCEC 200x16          | Weight: 119.87 kg/m
DCEC 200x18          | Weight: 119.87 kg/m
DCEC 200x20          | Weight: 119.87 kg/m
DCEC 30              | Weight:   2.73 kg/m
DCEC 30x4            | Weight:   2.73 kg/m
DCEC 30x5            | Weight:   2.73 kg/m
DCEC 30x6            | Weight:   2.73 kg/m
DCEC 35              | Weight:   3.68 kg/m
DCEC 35x4            | Weight:   3.68 kg/m
DCEC 35x5            | Weight:   3.68 kg/m
DCEC 35x6            | Weight:   3.68 kg/m
DCEC 40              | Weight:   4.83 kg/m
DCEC 40x4            | Weight:   4.83 kg/m
DCEC 40x5            | Weight:   4.83 kg/m
DCEC 40x6            | Weight:   4.83 kg/m
DCEC 40x7            | Weight:   4.83 kg/m
DCEC 40x8            | Weight:   4.83 kg/m
DCEC 45              | Weight:   6.12 kg/m
DCEC 45x4            | Weight:   6.12 kg/m
DCEC 45x5            | Weight:   6.12 kg/m
DCEC 45x6            | Weight:   6.12 kg/m
DCEC 45x7            | Weight:   6.12 kg/m
DCEC 45x8            | Weight:   6.12 kg/m
DCEC 50              | Weight:   7.54 kg/m
DCEC 50x10           | Weight:   7.54 kg/m
DCEC 50x4            | Weight:   7.54 kg/m
DCEC 50x5            | Weight:   7.54 kg/m
DCEC 50x6            | Weight:   7.54 kg/m
DCEC 50x7            | Weight:   7.54 kg/m
DCEC 50x8            | Weight:   7.54 kg/m
DCEC 60              | Weight:  10.85 kg/m
DCEC 60x10           | Weight:  10.85 kg/m
DCEC 60x12           | Weight:  10.85 kg/m
DCEC 60x5            | Weight:  10.85 kg/m
DCEC 60x6            | Weight:  10.85 kg/m
DCEC 60x7            | Weight:  10.85 kg/m
DCEC 60x8            | Weight:  10.85 kg/m
DCEC 70              | Weight:  14.75 kg/m
DCEC 70x10           | Weight:  14.75 kg/m
DCEC 70x12           | Weight:  14.75 kg/m
DCEC 70x6            | Weight:  14.75 kg/m
DCEC 70x7            | Weight:  14.75 kg/m
DCEC 70x8            | Weight:  14.75 kg/m
DCEC 80              | Weight:  19.26 kg/m
DCEC 80x10           | Weight:  19.26 kg/m
DCEC 80x12           | Weight:  19.26 kg/m
DCEC 80x14           | Weight:  19.26 kg/m
DCEC 80x7            | Weight:  19.26 kg/m
DCEC 80x8            | Weight:  19.26 kg/m
DCEC 90              | Weight:  24.37 kg/m
DCEC 90x10           | Weight:  24.37 kg/m
DCEC 90x12           | Weight:  24.37 kg/m
DCEC 90x14           | Weight:  24.37 kg/m
DCEC 90x16           | Weight:  24.37 kg/m
DCEC 90x7            | Weight:  24.37 kg/m
DCEC 90x8            | Weight:  24.37 kg/m
DCED 100             | Weight:  30.07 kg/m
DCED 100x12          | Weight:  30.07 kg/m
DCED 100x14          | Weight:  30.07 kg/m
DCED 100x16          | Weight:  30.07 kg/m
DCED 100x18          | Weight:  30.07 kg/m
DCED 100x20          | Weight:  30.07 kg/m
DCED 100x25          | Weight:  30.07 kg/m
DCED 100x8           | Weight:  30.07 kg/m
DCED 120             | Weight:  43.24 kg/m
DCED 120x10          | Weight:  43.24 kg/m
DCED 120x12          | Weight:  43.24 kg/m
DCED 120x14          | Weight:  43.24 kg/m
DCED 120x16          | Weight:  43.24 kg/m
DCED 120x18          | Weight:  43.24 kg/m
DCED 120x20          | Weight:  43.24 kg/m
DCED 120x8           | Weight:  43.24 kg/m
DCED 150             | Weight:  67.55 kg/m
DCED 150x10          | Weight:  67.55 kg/m
DCED 150x12          | Weight:  67.55 kg/m
DCED 150x14          | Weight:  67.55 kg/m
DCED 150x16          | Weight:  67.55 kg/m
DCED 150x18          | Weight:  67.55 kg/m
DCED 150x20          | Weight:  67.55 kg/m
DCED 180             | Weight:  97.19 kg/m
DCED 180x14          | Weight:  97.19 kg/m
DCED 180x16          | Weight:  97.19 kg/m
DCED 180x18          | Weight:  97.19 kg/m
DCED 180x20          | Weight:  97.19 kg/m
DCED 200             | Weight: 119.87 kg/m
DCED 200x14          | Weight: 119.87 kg/m
DCED 200x16          | Weight: 119.87 kg/m
DCED 200x18          | Weight: 119.87 kg/m
DCED 200x20          | Weight: 119.87 kg/m
DCED 30              | Weight:   2.73 kg/m
DCED 30x4            | Weight:   2.73 kg/m
DCED 30x5            | Weight:   2.73 kg/m
DCED 30x6            | Weight:   2.73 kg/m
DCED 35              | Weight:   3.68 kg/m
DCED 35x4            | Weight:   3.68 kg/m
DCED 35x5            | Weight:   3.68 kg/m
DCED 35x6            | Weight:   3.68 kg/m
DCED 40              | Weight:   4.83 kg/m
DCED 40x4            | Weight:   4.83 kg/m
DCED 40x5            | Weight:   4.83 kg/m
DCED 40x6            | Weight:   4.83 kg/m
DCED 40x7            | Weight:   4.83 kg/m
DCED 40x8            | Weight:   4.83 kg/m
DCED 45              | Weight:   6.12 kg/m
DCED 45x4            | Weight:   6.12 kg/m
DCED 45x5            | Weight:   6.12 kg/m
DCED 45x6            | Weight:   6.12 kg/m
DCED 45x7            | Weight:   6.12 kg/m
DCED 45x8            | Weight:   6.12 kg/m
DCED 50              | Weight:   7.54 kg/m
DCED 50x10           | Weight:   7.54 kg/m
DCED 50x4            | Weight:   7.54 kg/m
DCED 50x5            | Weight:   7.54 kg/m
DCED 50x6            | Weight:   7.54 kg/m
DCED 50x7            | Weight:   7.54 kg/m
DCED 50x8            | Weight:   7.54 kg/m
DCED 60              | Weight:  10.85 kg/m
DCED 60x10           | Weight:  10.85 kg/m
DCED 60x12           | Weight:  10.85 kg/m
DCED 60x5            | Weight:  10.85 kg/m
DCED 60x6            | Weight:  10.85 kg/m
DCED 60x7            | Weight:  10.85 kg/m
DCED 60x8            | Weight:  10.85 kg/m
DCED 70              | Weight:  14.75 kg/m
DCED 70x10           | Weight:  14.75 kg/m
DCED 70x12           | Weight:  14.75 kg/m
DCED 70x6            | Weight:  14.75 kg/m
DCED 70x7            | Weight:  14.75 kg/m
DCED 70x8            | Weight:  14.75 kg/m
DCED 80              | Weight:  19.26 kg/m
DCED 80x10           | Weight:  19.26 kg/m
DCED 80x12           | Weight:  19.26 kg/m
DCED 80x14           | Weight:  19.26 kg/m
DCED 80x7            | Weight:  19.26 kg/m
DCED 80x8            | Weight:  19.26 kg/m
DCED 90              | Weight:  24.37 kg/m
DCED 90x10           | Weight:  24.37 kg/m
DCED 90x12           | Weight:  24.37 kg/m
DCED 90x14           | Weight:  24.37 kg/m
DCED 90x16           | Weight:  24.37 kg/m
DCED 90x7            | Weight:  24.37 kg/m
DCED 90x8            | Weight:  24.37 kg/m
DCEP 100             | Weight:  30.07 kg/m
DCEP 100x10          | Weight:  30.07 kg/m
DCEP 100x12          | Weight:  30.07 kg/m
DCEP 100x14          | Weight:  30.07 kg/m
DCEP 100x16          | Weight:  30.07 kg/m
DCEP 100x18          | Weight:  30.07 kg/m
DCEP 100x20          | Weight:  30.07 kg/m
DCEP 100x8           | Weight:  30.07 kg/m
DCEP 120             | Weight:  43.24 kg/m
DCEP 120x10          | Weight:  43.24 kg/m
DCEP 120x12          | Weight:  43.24 kg/m
DCEP 120x14          | Weight:  43.24 kg/m
DCEP 120x16          | Weight:  43.24 kg/m
DCEP 120x18          | Weight:  43.24 kg/m
DCEP 120x20          | Weight:  43.24 kg/m
DCEP 120x8           | Weight:  43.24 kg/m
DCEP 150             | Weight:  67.55 kg/m
DCEP 150x10          | Weight:  67.55 kg/m
DCEP 150x12          | Weight:  67.55 kg/m
DCEP 150x14          | Weight:  67.55 kg/m
DCEP 150x16          | Weight:  67.55 kg/m
DCEP 150x18          | Weight:  67.55 kg/m
DCEP 150x20          | Weight:  67.55 kg/m
DCEP 180             | Weight:  97.19 kg/m
DCEP 180x14          | Weight:  97.19 kg/m
DCEP 180x16          | Weight:  97.19 kg/m
DCEP 180x18          | Weight:  97.19 kg/m
DCEP 180x20          | Weight:  97.19 kg/m
DCEP 200             | Weight: 119.87 kg/m
DCEP 200x14          | Weight: 119.87 kg/m
DCEP 200x16          | Weight: 119.87 kg/m
DCEP 200x18          | Weight: 119.87 kg/m
DCEP 200x20          | Weight: 119.87 kg/m
DCEP 30              | Weight:   2.73 kg/m
DCEP 30x4            | Weight:   2.73 kg/m
DCEP 30x5            | Weight:   2.73 kg/m
DCEP 30x6            | Weight:   2.73 kg/m
DCEP 35              | Weight:   3.68 kg/m
DCEP 35x4            | Weight:   3.68 kg/m
DCEP 35x5            | Weight:   3.68 kg/m
DCEP 35x6            | Weight:   3.68 kg/m
DCEP 40              | Weight:   4.83 kg/m
DCEP 40x4            | Weight:   4.83 kg/m
DCEP 40x5            | Weight:   4.83 kg/m
DCEP 40x6            | Weight:   4.83 kg/m
DCEP 40x7            | Weight:   4.83 kg/m
DCEP 40x8            | Weight:   4.83 kg/m
DCEP 45              | Weight:   6.12 kg/m
DCEP 45x4            | Weight:   6.12 kg/m
DCEP 45x5            | Weight:   6.12 kg/m
DCEP 45x6            | Weight:   6.12 kg/m
DCEP 45x7            | Weight:   6.12 kg/m
DCEP 45x8            | Weight:   6.12 kg/m
DCEP 50              | Weight:   7.54 kg/m
DCEP 50x10           | Weight:   7.54 kg/m
DCEP 50x4            | Weight:   7.54 kg/m
DCEP 50x5            | Weight:   7.54 kg/m
DCEP 50x6            | Weight:   7.54 kg/m
DCEP 50x7            | Weight:   7.54 kg/m
DCEP 50x8            | Weight:   7.54 kg/m
DCEP 60              | Weight:  10.85 kg/m
DCEP 60x10           | Weight:  10.85 kg/m
DCEP 60x12           | Weight:  10.85 kg/m
DCEP 60x5            | Weight:  10.85 kg/m
DCEP 60x6            | Weight:  10.85 kg/m
DCEP 60x7            | Weight:  10.85 kg/m
